"Year","site","Transect","lat","long","depth","algal_turf","macroalgae","turf_prod_kghaday_med","turf_prod_kghaday_lhd","turf_prod_kghaday_uhd","macr_prod_kghaday_med","macr_prod_kghaday_lhd","macr_prod_kghaday_uhd"
2013,"nuarei",1,-17.50063333,-149.75465,10.59000015,0.88,0,6.7603475927319,5.59046838709839,7.76343566140117,0,0,0
2013,"nuarei",2,-17.50063333,-149.75465,10.59000015,0.94,0,7.22128038314543,5.97163668621873,8.29276082013306,0,0,0
2013,"nuarei",3,-17.50063333,-149.75465,10.59000015,0.8,0,6.14577053884718,5.08224398827126,7.05766878309197,0,0,0
2013,"pihaena",1,-17.4766,-149.8290333,8.18999958,0.96,0,7.95487901947353,6.86999615414338,8.96431650012677,0,0,0
2013,"pihaena",2,-17.4766,-149.8290333,8.18999958,0.94,0.04,7.7891523732345,6.72687123426539,8.77755990637413,0.0365437966288345,0.0291817993566166,0.0439044532164434
2013,"pihaena",3,-17.4766,-149.8290333,8.18999958,0.96,0,7.95487901947353,6.86999615414337,8.96431650012677,0,0,0
2013,"taotaha",1,-17.53336667,-149.9188167,13.60999966,0.82,0.04,5.81320082041935,4.51106785702901,6.80508306449555,0.0365437966288345,0.0291817993566166,0.0439044532164434
2013,"taotaha",2,-17.53336667,-149.9188167,13.60999966,0.86,0,6.09677159214713,4.73111994761579,7.13703833593436,0,0,0
2013,"taotaha",3,-17.53336667,-149.9188167,13.60999966,0.76,0.04,5.38784466282769,4.18098972114884,6.30715015733734,0.0365437966288345,0.0291817993566166,0.0439044532164434
2013,"temae",1,-17.50675,-149.7599667,10.21000004,0.9,0.02,6.99064871516777,5.81691637451588,7.99644351126736,0.0182718983144173,0.0145908996783083,0.0219522266082217
2013,"temae",2,-17.50675,-149.7599667,10.21000004,0.9,0,6.99064871516777,5.81691637451588,7.99644351126736,0,0,0
2013,"temae",3,-17.50675,-149.7599667,10.21000004,0.88,0,6.83530096594182,5.68765156619331,7.81874476657253,0,0,0
2013,"tetaiuo",1,-17.50521667,-149.9275333,15,0.78,0,5.35799617774293,4.05265038277509,6.31871024308903,0,0,0
2013,"tetaiuo",2,-17.50521667,-149.9275333,15,0.72,0.04,4.94584262560886,3.74090804563854,5.83265560900525,0.0365437966288345,0.0291817993566166,0.0439044532164434
2013,"tetaiuo",3,-17.50521667,-149.9275333,15,0.74,0.06,5.08322714298688,3.84482215801739,5.99467382036651,0.0548156949432518,0.0437726990349248,0.065856679824665
2013,"tiahura",1,-17.48283333,-149.8994444,12.32999992,0.84,0.12,6.14864638698983,4.97449835725348,7.22306580060016,0.109631389886504,0.0875453980698497,0.13171335964933
2013,"tiahura",2,-17.48283333,-149.8994444,12.32999992,0.84,0.04,6.14864638698983,4.97449835725347,7.22306580060016,0.0365437966288345,0.0291817993566166,0.0439044532164434
2013,"tiahura",3,-17.48283333,-149.8994444,12.32999992,0.9,0.06,6.58783541463196,5.32981966848587,7.7389990720716,0.0548156949432518,0.0437726990349248,0.065856679824665
2014,"afareaitu",1,-17.56918333,-149.7840833,8.93999958,0.92,0,7.43134729140728,6.32580027324921,8.42247216325215,0,0,0
2014,"afareaitu",2,-17.56918333,-149.7840833,8.93999958,0.9,0,7.26979626333321,6.18828287600467,8.23937494231189,0,0,0
2014,"afareaitu",3,-17.56918333,-149.7840833,8.93999958,0.8,0,6.46204112296285,5.50069588978192,7.32388883761057,0,0,0
2014,"aroa",1,-17.47075,-149.7774,5.940000057,0.5,0.08,4.51111835941496,4.03853324882651,5.01499692533983,0.073087593257669,0.0583635987132331,0.0878089064328867
2014,"aroa",2,-17.47075,-149.7774,5.940000057,0.7,0,6.31556570318094,5.65394654835711,7.02099569547576,0,0,0
2014,"aroa",3,-17.47075,-149.7774,5.940000057,0.74,0.1,6.67645517193414,5.97702920826323,7.42219544950294,0.0913594915720863,0.0729544983915414,0.109761133041108
2014,"entre_2_baies",1,-17.47553333,-149.8370333,5.980000019,0.62,0.06,5.58383609046277,4.98219391592182,6.19661717741587,0.0548156949432518,0.0437726990349248,0.065856679824665
2014,"entre_2_baies",2,-17.47553333,-149.8370333,5.980000019,0.62,0.06,5.58383609046277,4.98219391592182,6.19661717741587,0.0548156949432518,0.0437726990349248,0.065856679824665
2014,"entre_2_baies",3,-17.47553333,-149.8370333,5.980000019,0.42,0.08,3.78259864192639,3.3750345882051,4.19770841050752,0.073087593257669,0.0583635987132331,0.0878089064328867
2014,"gendron",1,-17.4995,-149.9275667,11.80000019,0.64,0,4.75103430602827,3.87932297431509,5.55346781878578,0,0,0
2014,"gendron",2,-17.4995,-149.9275667,11.80000019,0.66,0,4.89950412809165,4.00055181726244,5.72701368812284,0,0,0
2014,"gendron",3,-17.4995,-149.9275667,11.80000019,0.64,0,4.75103430602827,3.87932297431509,5.55346781878578,0,0,0
2014,"haapiti",1,-17.55438333,-149.8977333,8.079999924,0.52,0,4.32397857084801,3.73957493255174,4.87035423313865,0,0,0
2014,"haapiti",2,-17.55438333,-149.8977333,8.079999924,0.44,0,3.65875109840986,3.16425571215917,4.12106896650194,0,0,0
2014,"haapiti",3,-17.55438333,-149.8977333,8.079999924,0.64,0,5.32181977950525,4.60255376314061,5.99428213309372,0,0,0
2014,"maatea",1,-17.5962,-149.7945,6.739999771,0.44,0.04,3.84161752766603,3.3810036115691,4.27977455718752,0.0365437966288345,0.0291817993566166,0.0439044532164434
2014,"maatea",2,-17.5962,-149.7945,6.739999771,0.34,0,2.96852263501466,2.61259369984885,3.30709852146308,0,0,0
2014,"maatea",3,-17.5962,-149.7945,6.739999771,0.46,0.04,4.01623650619631,3.53468559391315,4.47430976433241,0.0365437966288345,0.0291817993566166,0.0439044532164434
2014,"motu_ahi",1,-17.54446667,-149.7755667,15,0.88,0,6.04491876463305,4.57222094466933,7.12880129989531,0,0,0
2014,"motu_ahi",2,-17.54446667,-149.7755667,15,0.9,0,6.18230328201107,4.67613505704818,7.29081951125657,0,0,0
2014,"motu_ahi",3,-17.54446667,-149.7755667,15,0.92,0,6.31968779938909,4.78004916942703,7.45283772261782,0,0,0
2014,"nuarei",1,-17.50063333,-149.75465,10.59000015,0.9,0,6.91399185620308,5.71752448680517,7.93987738097847,0,0,0
2014,"nuarei",2,-17.50063333,-149.75465,10.59000015,0.76,0,5.83848201190482,4.8281317888577,6.70478534393737,0,0,0
2014,"nuarei",3,-17.50063333,-149.75465,10.59000015,0.74,0,5.68483774843364,4.70107568915092,6.52834362436007,0,0,0
2014,"pihaena",1,-17.4766,-149.8290333,8.18999958,0.94,0,7.7891523732345,6.72687123426539,8.77755990637413,0,0,0
2014,"pihaena",2,-17.4766,-149.8290333,8.18999958,0.9,0,7.45769908075644,6.44062139450941,8.40404671886884,0,0,0
2014,"pihaena",3,-17.4766,-149.8290333,8.18999958,0.9,0,7.45769908075644,6.44062139450941,8.40404671886884,0,0,0
2014,"taotaha",1,-17.53336667,-149.9188167,13.60999966,0.64,0.02,4.53713234764437,3.52083344938849,5.31128434302092,0.0182718983144173,0.0145908996783083,0.0219522266082217
2014,"taotaha",2,-17.53336667,-149.9188167,13.60999966,0.64,0.02,4.53713234764437,3.52083344938849,5.31128434302092,0.0182718983144173,0.0145908996783083,0.0219522266082217
