P_CODE,A_SECTOR,SHELF,REEF_NAME,REPORT_YEAR,SITE_NO,TRANSECT_NO,START_DEPTH
RM,WH,O,HYDE REEF,2002,1,3,7
RM,WH,O,HYDE REEF,2002,1,3,8
RM,WH,O,HYDE REEF,2002,1,4,8
RM,WH,O,HYDE REEF,2002,1,4,9
RM,WH,O,HYDE REEF,2002,1,5,9
RM,WH,O,HYDE REEF,2002,2,1,7
RM,WH,O,HYDE REEF,2002,2,1,9
RM,WH,O,HYDE REEF,2002,2,2,7
RM,WH,O,HYDE REEF,2002,2,2,9
RM,WH,O,HYDE REEF,2002,2,3,8
RM,WH,O,HYDE REEF,2002,2,4,8
RM,WH,O,HYDE REEF,2002,2,5,8
RM,WH,O,HYDE REEF,2002,3,1,7
RM,WH,O,HYDE REEF,2002,3,1,8
RM,WH,O,HYDE REEF,2002,3,2,7
RM,WH,O,HYDE REEF,2002,3,2,8
RM,WH,O,HYDE REEF,2002,3,3,7
RM,WH,O,HYDE REEF,2002,3,3,8
RM,WH,O,HYDE REEF,2002,3,4,8
RM,WH,O,HYDE REEF,2002,3,5,9
RM,WH,O,HYDE REEF,2003,1,1,7
RM,WH,O,HYDE REEF,2003,1,1,8
RM,WH,O,HYDE REEF,2003,1,2,6
RM,WH,O,HYDE REEF,2003,1,2,7
RM,WH,O,HYDE REEF,2003,1,3,5
RM,WH,O,HYDE REEF,2003,1,3,6
RM,WH,O,HYDE REEF,2003,1,4,7
RM,WH,O,HYDE REEF,2003,1,5,6
RM,WH,O,HYDE REEF,2003,1,5,8
RM,WH,O,HYDE REEF,2003,2,1,6
RM,WH,O,HYDE REEF,2003,2,1,7
RM,WH,O,HYDE REEF,2003,2,2,6
RM,WH,O,HYDE REEF,2003,2,2,7
RM,WH,O,HYDE REEF,2003,2,3,7
RM,WH,O,HYDE REEF,2003,2,4,7
RM,WH,O,HYDE REEF,2003,2,4,8
RM,WH,O,HYDE REEF,2003,2,5,7
RM,WH,O,HYDE REEF,2003,2,5,8
RM,WH,O,HYDE REEF,2003,3,1,8
RM,WH,O,HYDE REEF,2003,3,2,8
RM,WH,O,HYDE REEF,2003,3,3,7
RM,WH,O,HYDE REEF,2003,3,3,8
RM,WH,O,HYDE REEF,2003,3,4,8
RM,WH,O,HYDE REEF,2003,3,5,8
RM,WH,O,HYDE REEF,2003,3,5,9
RM,WH,O,HYDE REEF,2004,1,1,7
RM,WH,O,HYDE REEF,2004,1,1,9
RM,WH,O,HYDE REEF,2004,1,2,8
